8.42, 3.10, 4.37, 0.35, 3.15, 23.78, 1.30, 6.23, 0.00, 0.70,
5.17, 19.92, 0.55, 5.68, 0.53, 16.77, 11.20, 1.50, 37.07, 7.17,
5.68, 9.75, 14.20, 5.63, 5.22, 51.65, 29.45, 2.28, 30.60, 3.05,
28.15, 36.70, 52.53, 240.00, 33.90, 5.68, 25.90, 7.78, 4.22, 34.08,
0.65, 7.12, 21.15, 22.57, 0.00, 77.73, 23.12, 35.88, 11.02, 51.62,
7.42, 31.95, 13.25, 21.13, 13.67, 0.08, 87.82, 35.13, 240.00, 34.63,
29.52, 31.37, 2.48, 2.12, 13.37, 19.83, 44.75, 27.62, 3.67, 20.43,
8.62, 5.85, 14.90, 1.65, 2.42, 16.12, 0.03, 3.48, 6.10, 18.67,
7.42, 27.85, 0.47, 1.38, 11.28, 3.23, 21.23, 0.03, 0.02, 10.50,
0.48, 23.60, 76.87, 120.13, 240.00, 19.97, 9.68, 23.20, 68.20, 0.95,
18.98, 19.80, 79.75, 87.77, 24.63, 7.10, 1.92, 30.63, 39.45, 5.38,
14.80, 0.40, 3.93, 24.58, 2.50, 2.82, 8.30, 24.10, 240.00, 72.90,
36.82, 37.93, 48.13, 34.33, 5.62, 17.45, 9.17, 13.80, 83.28, 1.70,
46.13, 25.77, 3.10, 27.62, 1.97, 3.23, 11.75, 22.17, 71.65, 33.98,
73.45, 31.50, 9.92, 33.52, 240.00, 3.62, 64.57, 96.00, 100.67, 53.92,
6.72, 3.33, 30.88, 32.97, 240.00, 32.87, 84.10, 7.82, 24.35, 9.38,
52.87, 33.58, 83.05, 32.27, 240.00, 5.08, 42.12, 34.12, 19.40, 32.07,
16.55, 61.62, 1.80, 2.88, 26.60, 2.72, 9.82, 20.08, 29.65, 4.25,
14.02, 12.68, 9.97, 0.27, 6.48, 5.37, 13.87, 13.42, 13.62, 2.95,
2.65, 4.47, 6.22, 3.20, 20.65, 2.28, 0.48, 6.83, 20.58, 9.75,
4.97, 16.22, 35.37, 11.90, 25.03, 7.80, 26.38, 21.98, 33.37, 240.00,
34.57, 84.17, 30.82, 61.27, 1.40, 11.45, 0.67, 2.25, 16.05, 3.43,
6.72, 29.78, 20.18, 31.48, 1.85, 12.43, 11.33, 8.92, 10.42, 7.12,
4.85, 25.50, 7.40, 55.05, 57.10, 40.67, 18.80, 3.73, 24.98, 7.35,
1.32, 29.52, 0.90, 18.70, 16.07, 17.77, 3.82, 6.50, 27.07, 35.57,
33.17, 240.00, 32.38, 16.78, 240.00, 240.00, 18.75, 159.55, 13.55, 32.60,
3.98, 117.23, 74.38, 240.00, 15.10, 57.47, 17.97, 16.73, 81.25, 81.57,
1.13, 43.03, 13.15, 5.95, 2.45, 25.50, 34.30, 36.25, 109.75, 240.00,
8.52, 51.15, 7.68, 4.73, 31.37, 16.82, 4.58, 31.77, 8.12, 0.92,
31.60, 5.75, 60.18, 34.28, 24.98, 211.60, 33.35, 240.00, 33.98, 99.42,
135.12, 33.52, 240.00, 50.40, 70.23, 126.65, 33.27, 31.60, 80.82, 52.13,
4.20, 2.95, 29.32, 6.95, 240.00, 20.67, 28.47, 31.50, 12.42, 7.15,
34.27, 15.90, 32.93, 22.93, 13.95, 41.95, 13.03, 29.22, 2.12, 16.92,
12.95, 5.88, 6.93, 8.15, 0.13, 33.15, 22.45, 33.40, 44.68, 34.52,
0.10, 2.65, 16.08, 14.98, 240.00, 0.35, 60.05, 8.97, 27.18, 7.50,
1.63, 25.90, 6.17, 3.63, 14.78, 9.13, 3.13, 3.60, 8.52, 19.78,
56.80, 34.42, 7.50, 48.50, 0.02, 19.63, 8.23, 0.72, 6.75, 16.20,
0.45, 9.15, 21.77, 1.32, 29.68, 3.03, 25.75, 240.00, 30.20, 96.98,
0.37, 30.45, 1.68, 5.48, 30.80, 44.63, 37.85, 5.83, 2.18, 18.12,
14.70, 4.25, 4.32, 15.02, 20.23, 9.07, 0.25, 10.12, 11.53, 13.82,
2.75, 14.48, 17.42, 240.00, 31.15, 14.90, 58.33, 66.65, 48.98, 75.67,
24.35, 33.30, 29.10, 32.92, 240.00, 37.55, 94.42, 39.17, 16.13, 39.92,
34.88, 0.02, 41.92, 33.42, 240.00, 58.95, 31.80, 5.45, 28.40, 7.13,
11.63, 7.83, 57.67, 28.28, 32.82, 0.35, 7.48, 13.13, 7.25, 2.00,
6.22, 16.40, 2.52, 16.63, 43.03, 2.17, 7.17, 6.20, 19.37, 4.27,
5.92, 70.03, 240.00, 5.87, 24.25, 9.25, 23.60, 9.75, 93.00, 28.75,
20.55, 16.55, 2.17, 13.03, 8.33, 75.38, 23.67, 3.65, 0.23, 8.45,
23.18, 12.95, 28.97, 52.30, 122.18, 240.00, 105.23, 28.05, 3.58, 33.23,
0.25, 33.80, 1.13, 21.57, 9.68, 28.47, 91.33, 6.13, 28.98, 2.73,
36.13, 4.88, 33.97, 240.00, 119.85, 19.88, 100.90, 66.37, 0.87, 10.63,
32.63, 8.73, 24.57, 96.10, 119.68, 240.00, 102.27, 21.93, 86.17, 11.00,
45.95, 73.73, 120.03, 120.62, 119.08, 240.00, 120.90, 48.10, 33.13, 37.62,
5.38, 29.38, 52.72, 9.95, 8.77, 14.25, 5.67, 33.55, 7.18, 27.32,
47.40, 118.10, 122.05, 240.00, 118.50, 121.33, 97.13, 21.17, 13.95, 106.95,
119.60, 119.40, 240.00, 119.75, 51.28, 32.93, 36.85, 119.85, 119.35, 120.60,
119.72, 240.00, 104.47, 11.43, 20.43, 99.55, 2.30, 118.58, 81.30, 38.15,
119.60, 120.62, 240.00, 100.32, 120.15, 119.85, 120.53, 119.68, 119.53, 240.00,
120.75, 119.75, 119.65, 119.78, 120.60, 119.72, 240.00, 119.77, 120.02, 119.50,
120.63, 119.62, 120.47, 240.00, 120.93, 119.77, 120.15, 36.00, 84.48, 119.42,
119.62, 240.00, 120.05, 119.40, 120.17, 48.37, 72.28, 119.82, 119.52, 240.00,
104.58, 2.43, 4.95, 2.25, 0.78, 13.90, 17.65, 3.45, 0.98, 8.68,
2.13, 26.88, 4.67, 5.73, 20.58, 12.65, 8.27, 1.70, 5.88, 23.67,
5.03, 24.42, 7.05, 14.53, 16.62, 12.73, 7.05, 6.85, 15.17, 14.20,
13.62, 3.08, 12.10, 4.28, 10.80, 6.43, 6.90, 13.50, 10.33, 5.07,
1.10, 4.17, 21.78, 0.62, 11.65, 5.15, 14.80, 11.77, 6.63, 24.20,
0.45, 23.30, 17.30, 21.50, 7.22, 32.92, 240.00, 30.55, 31.53, 12.42,
35.17, 26.10, 13.13, 18.12, 6.05, 7.38, 4.95, 6.82, 3.15, 24.65,
6.57, 8.72, 12.18, 26.80, 16.53, 15.70, 2.45, 8.92, 10.77, 18.28,
2.98, 23.33, 0.50, 6.35, 18.75, 7.50, 1.83, 16.53, 3.32, 5.38,
4.73, 3.92, 25.88, 0.15, 14.43, 1.63, 5.85, 33.17, 29.23, 119.65,
40.40, 125.35, 240.00, 8.52, 64.07, 33.25, 21.50, 20.23, 34.30, 0.70,
133.15, 30.27, 3.18, 36.28, 0.02, 2.17, 7.72, 2.78, 31.77, 47.07,
48.43, 5.75, 32.07, 110.72, 68.88, 63.58, 14.07, 4.48, 240.00, 8.83,
19.53, 41.07, 4.83, 22.23, 6.60, 15.07, 5.78, 15.40, 11.22, 2.30,
15.35, 27.25, 2.72, 8.30, 4.68, 30.20, 3.90, 4.52, 8.60, 1.25,
44.18, 1.42, 34.47, 19.02, 4.83, 0.05, 30.42, 26.17, 9.68, 21.82,
0.95, 4.25, 30.08, 0.92, 5.20, 28.42, 64.07, 3.93, 13.28, 12.10,
108.52, 240.00, 53.07, 35.72, 9.03, 16.22, 5.47, 31.18, 4.83, 1.93,
3.62, 4.83, 19.18, 5.32, 3.25, 6.33, 11.45, 15.78, 8.93, 8.08,
21.53, 9.13, 5.83, 35.87, 0.02, 8.15, 2.28, 0.25, 8.42, 11.72
